pelicula_genero_id;pelicula_id;genero_id
1234;362;6
1235;363;1
1236;363;3
1237;363;20
1238;364;5
1239;364;12
1240;364;15
1241;365;1
1242;365;3
1243;365;20
1244;366;1
1245;366;6
1246;367;2
1247;367;3
1248;367;7
1249;367;13
1250;367;14
1251;368;12
1252;368;17
1253;368;19
1254;369;1
1255;369;3
1256;369;12
1257;369;15
1258;369;4
1259;370;9
1260;370;12
1261;370;15
1262;370;22
